t / s	&J_A1 / °C
0.0	21.4
0.1	21.4
0.2	21.4
0.3	21.4
0.4	21.4
0.5	21.4
0.6	21.4
0.7	21.5
0.8	21.4
0.9	21.4
1.0	21.4
1.1	21.4
1.2	21.4
1.3	21.4
1.4	21.4
1.5	21.4
1.6	21.4
1.7	21.4
1.8	21.4
1.9	21.5
2.0	21.4
2.1	21.4
2.2	21.4
2.3	21.4
2.4	21.4
2.5	21.4
2.6	21.5
2.7	21.5
2.8	21.4
2.9	21.4
3.0	21.4
3.1	21.4
3.2	21.4
3.3	21.4
3.4	21.4
3.5	21.4
3.6	21.4
3.7	21.4
3.8	21.4
3.9	21.4
4.0	21.4
4.1	21.4
4.2	21.4
4.3	21.4
4.4	21.4
4.5	21.4
4.6	21.4
4.7	21.4
4.8	21.4
4.9	21.4
5.0	21.4
5.1	21.4
5.2	21.4
5.3	21.4
5.4	21.4
5.5	21.4
5.6	21.4
5.7	21.4
5.8	21.4
5.9	21.4
6.0	21.4
6.1	21.4
6.2	21.4
6.3	21.4
6.4	21.4
6.5	21.4
6.6	21.4
6.7	21.4
6.8	21.4
6.9	21.4
7.0	21.4
7.1	21.4
7.2	21.4
7.3	21.4
7.4	21.4
7.5	21.4
7.6	21.4
7.7	21.4
7.8	21.4
7.9	21.4
8.0	21.3
8.1	21.4
8.2	21.4
8.3	21.4
8.4	21.4
8.5	21.4
8.6	21.4
8.7	21.4
8.8	21.4
8.9	21.4
9.0	21.4
9.1	21.4
9.2	21.4
9.3	21.3
9.4	21.4
9.5	21.4
9.6	21.4
9.7	21.4
9.8	21.3
9.9	21.4
10.0	21.3
10.1	21.3
10.2	21.3
10.3	21.4
10.4	21.4
10.5	21.3
10.6	21.3
10.7	21.3
10.8	21.4
10.9	21.3
11.0	21.3
11.1	21.3
11.2	21.3
11.3	21.3
11.4	21.3
11.5	21.3
11.6	21.3
11.7	21.3
11.8	21.3
11.9	21.3
12.0	21.3
12.1	21.3
12.2	21.3
12.3	21.3
12.4	21.3
12.5	21.3
12.6	21.3
12.7	21.3
12.8	21.4
12.9	21.3
13.0	21.3
13.1	21.3
13.2	21.3
13.3	21.3
13.4	21.3
13.5	21.3
13.6	21.3
13.7	21.3
13.8	21.3
13.9	21.3
14.0	21.3
14.1	21.3
14.2	21.4
14.3	21.3
14.4	21.4
14.5	21.3
14.6	21.3
14.7	21.3
14.8	21.3
14.9	21.4
15.0	21.3
15.1	21.3
15.2	21.3
15.3	21.3
15.4	21.3
15.5	21.3
15.6	21.3
15.7	21.3
15.8	21.3
15.9	21.3
16.0	21.2
16.1	21.3
16.2	21.4
16.3	21.4
16.4	21.3
16.5	21.3
16.6	21.2
16.7	21.2
16.8	21.3
16.9	21.2
17.0	21.3
