f f_err u_ind u_ind_err u_hh  u_hh_err  i_hh  i_hh_err
20  0.12  107 1 5.44  0.08  23.02 0.02
40  0.15  197  1 5.68  0.08  20.56 0.02
60  0.15  257 1 5.68  0.08  17.68 0.02
80  0.15  293 1 5.68  0.24  15.12 0.02
100 0.2 317 1 5.44  0.16  13.03 0.02
120 0.2 331 1 5.36  0.08  11.35 0.02
140 0.4 341 1 5.36  0.08  10.05 0.02
160 0.4 347 1 5.36  0.08  8.98  0.02
180 0.4 352 1 5.36  0.08  8.09  0.02
200 0.4 355 1 5.36  0.08  7.37  0.02
400 1 367 1 5.36  0.08  3.81  0.02
600 1 371 1 5.36  0.08  2.56  0.02
800 2 373 1 5.36  0.08  1.92  0.02
1000  2 374 1 5.36  0.08  1.53  0.02
1200  4 380 1 5.36  0.08  1.28  0.02
1400  10  382 2 5.36  0.08  1.08  0.02
1600  10  382 2 5.36  0.08  0.95  0.02
1800  10  386 2 5.36  0.08  0.84  0.02
2000  10  392 4 5.36  0.08  0.75  0.02
