Parameter:
Anzahl Messungen: 2000
Torzeit in Sekunden: 0.5
Zerfälle pro Torzeit,  Gemessene Anzahl an Ereignissen
33, 0.0
34, 0.0
35, 0.0
36, 0.0
37, 0.0
38, 0.0
39, 0.0
40, 0.0
41, 1.0
42, 0.0
43, 1.0
44, 0.0
45, 1.0
46, 0.0
47, 2.0
48, 1.0
49, 4.0
50, 1.0
51, 4.0
52, 6.0
53, 8.0
54, 13.0
55, 12.0
56, 18.0
57, 18.0
58, 27.0
59, 37.0
60, 39.0
61, 49.0
62, 46.0
63, 59.0
64, 73.0
65, 66.0
66, 84.0
67, 106.0
68, 93.0
69, 97.0
70, 93.0
71, 108.0
72, 96.0
73, 99.0
74, 88.0
75, 85.0
76, 72.0
77, 67.0
78, 65.0
79, 52.0
80, 51.0
81, 46.0
82, 39.0
83, 44.0
84, 27.0
85, 19.0
86, 16.0
87, 11.0
88, 8.0
89, 9.0
90, 9.0
91, 14.0
92, 3.0
93, 6.0
94, 1.0
95, 4.0
96, 1.0
97, 1.0
98, 0.0
99, 0.0
100, 0.0
101, 0.0
102, 0.0
103, 0.0
104, 0.0
105, 0.0
106, 0.0
107, 0.0
108, 0.0
109, 0.0
110, 0.0
111, 0.0
112, 0.0
