Parameter:
Anzahl Messungen: 40
Torzeit in Sekunden: 10.0
Zeit in Sekunden,  Anzahl gemessener Zerfälle
0.0, 117.0
10.0, 75.0
20.0, 64.0
30.0, 45.0
40.0, 54.0
50.0, 39.0
60.0, 28.0
70.0, 20.0
80.0, 19.0
90.0, 16.0
100.0, 12.0
110.0, 15.0
120.0, 15.0
130.0, 15.0
140.0, 10.0
150.0, 6.0
160.0, 14.0
170.0, 4.0
180.0, 16.0
190.0, 10.0
200.0, 12.0
210.0, 6.0
220.0, 12.0
230.0, 5.0
240.0, 8.0
250.0, 9.0
260.0, 9.0
270.0, 9.0
280.0, 7.0
290.0, 11.0
300.0, 9.0
310.0, 4.0
320.0, 9.0
330.0, 6.0
340.0, 7.0
350.0, 6.0
360.0, 3.0
370.0, 3.0
380.0, 5.0
390.0, 4.0
